,vin,id,total_diff,stage_diff,wheels_diff,paint_diff,seats_diff
0,5YJ3E1EA5JF078499,RN107369391,1,0,0,1,0
1,5YJ3E1EB4JF095983,RN107212505,1,0,0,0,1
2,5YJ3E1EBXJF077164,RN108578728,1,0,0,1,0
3,5YJ3E1EB7JF104241,RN107612738,1,0,0,1,0
4,5YJ3E1EB2JF096291,RN109160918,1,0,0,0,1
5,5YJ3E1EB6JF096326,RN109171776,1,0,0,1,0
6,5YJ3E1EB2JF099819,RN109168416,1,0,1,0,0
7,5YJ3E1EB1JF100542,RN108792645,1,0,0,1,0
8,5YJ3E1EBXJF078640,RN107834553,1,0,0,1,0
9,5YJ3E1EB2JF083931,RN109092726,1,0,0,1,0
10,5YJ3E1EB4JF084349,RN107519248,1,0,0,1,0
11,5YJ3E1EA9JF004857,RN108852985,1,0,0,1,0
12,5YJ3E1EA9JF089393,RN108844813,1,0,0,1,0
13,5YJ3E1EB2JF064652,RN107730123,1,0,0,1,0
14,5YJ3E1EB8JF079110,RN107534075,2,1,1,0,0
15,5YJ3E1EA8JF057504,RN107891853,1,1,0,0,0
16,5YJ3E1EA8JF035307,RN108349284,1,0,0,1,0
17,5YJ3E1EA2JF046272,RN107172614,1,0,0,1,0
18,5YJ3E1EB1JF089672,RN108383467,1,0,0,1,0
19,5YJ3E1EB3JF096414,RN109161948,2,1,0,0,1
20,5YJ3E1EBXJF067278,RN107020771,1,0,0,1,0
21,5YJ3E1EB2JF087591,RN107996285,2,1,0,1,0
22,5YJ3E1EB8JF092326,RN109178929,1,0,1,0,0
23,5YJ3E1EB1JF056090,RN107458692,1,0,0,0,1
24,5YJ3E1EB6JF072446,RN108900556,1,0,0,1,0
25,5YJ3E1EA7JF033680,RN108407837,1,0,0,1,0
26,5YJ3E1EA4JF041946,RN108054998,1,0,0,1,0
27,5YJ3E1EB9JF103284,RN107550008,1,0,0,1,0
28,5YJ3E1EB3JF068483,RN108046860,1,1,0,1,0
29,5YJ3E1EBXJF077200,RN108770689,1,0,0,0,1
30,5YJ3E1EB4JF104214,RN109028308,1,0,0,1,0
31,5YJ3E1EB2JF099501,RN109164935,1,0,0,1,0
32,5YJ3E1EB7JF071306,RN107553790,1,1,0,0,0
33,5YJ3E1EB8JF100523,RN108267808,1,0,0,0,1
34,5YJ3E1EA8JF045465,RN107911680,1,0,1,0,0
35,5YJ3E1EA3JF041341,RN108203730,1,0,0,1,0
36,5YJ3E1EA2JF025999,RN108533943,1,1,0,0,0
37,5YJ3E1EB6JF071815,RN108945168,1,0,0,1,0
38,5YJ3E1EB9JF079195,RN107818200,2,0,0,1,1
39,5YJ3E1EA1JF014316,RN109164593,1,0,0,1,0
