vcode,ocode,total_diff,stage_diff,wheels_diff,paint_diff,seats_diff
RWDW39BPMBLS3PB,RWDW39BPPSWS3PB,1,0,0,1,0
RWDW38BPMSSS3PB,RWDW38BPPMRS3PB,1,0,0,1,0
Stage 0W39BPMNGS3PB,Stage 0W39BPMSSS3PB,1,0,0,1,0
Stage 0W38BPMSSS3PB,Stage 0W38BPBSBS3PB,1,0,0,1,0
RWDW38BPMSSS3PB,RWDW38BPPSWS3PB,1,0,0,1,0
Stage 0W39BPMNGS3PB,Stage 0W39BPPSWS3PB,1,0,0,1,0
Stage 0W38BPMNGS3PB,RWDW38BPMNGS3PB,1,1,0,0,0
RWDW38BPMSSS3PB,RWDW38BPPSWS3PB,1,0,0,1,0
RWDW38BPMSSS3PB,RWDW38BPBSBS3PB,1,0,0,1,0
Stage 0W39BPMNGS3PB,Stage 0W39BPPSWS3PB,1,0,0,1,0
Stage 0W38BPMNGS3PB,RWDW38BPMNGS3PB,1,1,0,0,0
Stage 0W38BPMNGS3PB,RWDW38BPMNGS3PB,1,1,0,0,0
Stage 0W38BPPMRS3PB,RWDW38BPPMRS3PB,1,1,0,0,0
RWDW38BPMSSS3PB,RWDW38BPBSBS3PB,1,0,0,1,0
Stage 0W38BPMSSS3PB,Stage 0W38BPPSBS3PB,1,0,0,1,0
